0.526,0.368,0.0,0.0,0.0,0.526,2.684,2.632,1.263,1.842,2.105,0.0,0.0,0.0,1.0,0.105,1.579,1.474,0.105,1.263,0.0,0.0,0.0,1.053,0.947,1.842,1.053,0.211,1.789,0.0,0.0,0.0,1.053,1.316,1.842,1.053,0.211,1.737,0.0,0.0,0.0,0.474,1.316,1.789,1.053,0.0,1.947,1.895,0.684,1.211,2.316,0.263,1.947,0.526,0.199,0.345,0.152,0.164,0.164,0.14,0.088,0.061,0.0,0.0,0.0,0.088,0.447,0.439,0.21
2.789,0.737,0.0,0.0,0.0,1.842,2.474,2.789,2.526,1.316,1.737,0.0,0.0,0.0,1.316,1.053,1.0,1.053,0.947,0.842,0.0,0.0,0.0,1.474,1.053,1.0,1.053,1.684,0.053,0.0,0.0,0.0,1.947,1.053,1.0,1.053,1.895,0.0,0.0,0.0,0.053,1.895,0.789,1.0,1.053,2.0,1.895,1.579,2.368,2.263,0.158,0.0,0.211,0.737,0.591,0.427,0.386,0.468,0.491,0.503,0.798,0.456,0.333,0.333,0.333,0.64,0.746,0.798,0.754
0.0,0.0,0.0,0.0,0.0,1.684,1.684,2.105,2.053,2.368,0.895,0.0,0.0,0.474,1.368,1.211,0.053,0.316,0.684,1.158,0.0,0.0,1.0,0.053,1.632,0.368,0.684,1.158,0.842,0.0,0.0,1.105,0.895,1.632,0.368,1.053,1.474,0.947,0.0,0.0,0.474,1.053,1.842,0.474,1.053,0.684,2.316,1.053,1.579,2.263,0.211,0.632,0.895,0.526,0.228,0.491,0.304,0.357,0.392,0.304,0.114,0.114,0.114,0.114,0.114,0.395,0.395,0.465,0.456
0.0,0.0,0.0,0.0,0.0,1.211,2.158,0.0,0.0,1.947,1.316,0.0,0.0,0.0,1.158,1.0,2.211,2.368,1.632,1.211,0.0,0.0,0.0,1.632,1.053,1.053,1.105,0.316,1.263,0.0,0.0,0.0,1.263,1.526,1.053,2.0,0.526,0.474,0.0,0.0,0.0,1.421,0.579,0.947,1.105,0.158,2.053,1.053,1.105,1.947,1.158,0.0,0.421,0.0,0.0,0.216,0.181,0.035,0.058,0.018,0.026,0.026,0.026,0.026,0.026,0.228,0.386,0.026,0.026
0.263,0.0,0.0,0.0,0.0,0.105,2.158,2.684,2.474,2.947,1.947,0.0,0.0,0.0,0.947,0.211,1.789,0.053,0.368,1.053,0.0,0.0,0.0,1.263,0.421,1.895,1.158,0.526,1.0,0.0,0.0,0.0,1.368,0.526,1.895,2.105,0.842,0.368,0.0,0.0,0.0,1.263,0.526,1.579,2.105,0.263,2.368,1.053,1.053,1.158,2.263,0.158,0.0,1.053,0.304,0.602,0.316,0.333,0.368,0.304,0.088,0.044,0.044,0.044,0.044,0.061,0.403,0.491,0.456
0.0,1.368,0.263,0.0,0.0,1.526,2.526,1.842,1.421,0.474,2.421,1.474,1.632,1.0,0.789,0.0,0.0,1.737,0.0,0.0,0.0,1.789,1.263,0.0,0.0,0.0,1.053,0.0,0.0,0.0,2.0,1.158,1.053,1.474,0.684,1.526,3.316,2.632,2.368,2.368,2.0,1.263,0.526,1.842,1.737,1.947,2.526,2.368,0.421,1.579,1.368,1.053,1.579,0.789,0.158,0.211,0.158,0.158,0.526,0.374,0.325,0.553,0.368,0.325,0.325,0.579,0.745,0.632,0.561
0.0,0.368,0.0,0.0,0.105,1.947,1.737,2.105,1.0,1.0,1.421,1.895,0.211,1.632,0.053,0.0,0.0,1.684,0.0,0.0,0.053,1.526,1.158,0.0,0.0,0.0,0.947,0.0,0.105,0.526,2.737,2.158,1.895,0.526,0.263,0.947,2.789,1.789,1.105,1.895,0.526,0.526,0.632,1.684,0.842,1.737,1.158,1.684,0.895,1.316,1.053,1.421,0.789,0.368,0.111,0.222,0.111,0.111,0.421,0.304,0.29,0.351,0.29,0.29,0.307,0.614,0.579,0.64,0.456
0.0,0.263,0.0,0.0,0.105,2.105,2.211,2.368,1.842,1.263,2.0,1.895,0.158,1.947,0.053,0.0,0.0,1.421,0.053,0.0,0.316,1.421,1.368,0.0,0.0,0.0,1.053,0.0,0.0,0.316,2.316,2.474,1.579,0.947,0.105,1.053,1.947,1.684,1.526,2.421,1.895,1.053,1.158,2.316,2.105,2.368,1.158,2.316,0.632,0.579,1.263,0.316,1.789,1.368,0.205,0.345,0.211,0.205,0.421,0.468,0.395,0.438,0.395,0.395,0.412,0.745,0.763,0.789,0.702
0.0,0.0,0.0,0.0,0.0,0.947,1.737,1.789,1.947,3.316,1.053,2.421,0.474,1.0,1.316,0.0,0.0,1.158,0.211,0.0,0.0,1.684,1.368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.316,0.947,0.0,0.0,0.0,1.368,3.0,2.526,1.789,3.105,2.105,2.105,1.895,1.684,2.0,2.632,0.632,2.0,0.579,1.842,1.684,1.474,1.684,0.684,0.216,0.585,0.24,0.216,0.55,0.509,0.439,0.439,0.439,0.439,0.439,0.597,0.728,0.737,0.763
0.053,0.526,0.263,0.0,0.579,1.842,1.947,2.158,0.842,1.0,1.684,2.158,1.053,1.842,0.0,0.0,0.0,1.789,0.0,0.0,0.0,1.947,0.789,0.0,0.0,0.0,0.895,0.0,0.0,0.316,2.316,1.263,1.053,1.053,0.211,1.263,3.105,1.474,1.053,1.947,0.684,0.421,1.053,2.053,1.526,2.211,1.263,1.842,0.947,1.474,2.0,1.211,0.947,0.263,0.099,0.205,0.094,0.094,0.439,0.339,0.377,0.456,0.412,0.368,0.465,0.675,0.693,0.728,0.509
0.0,0.0,0.0,0.0,0.684,1.842,1.789,2.211,0.316,1.158,2.053,0.158,0.0,2.895,2.105,1.684,0.105,2.211,1.105,0.053,0.895,0.0,0.263,0.0,0.789,0.421,1.0,0.0,0.316,0.789,0.0,0.0,0.0,0.632,0.421,0.947,0.579,1.947,2.0,1.632,0.211,0.105,1.263,0.0,1.421,2.211,1.474,0.158,0.211,1.579,1.737,0.211,0.0,0.789,0.035,0.164,0.158,0.035,0.099,0.281,0.368,0.368,0.368,0.368,0.482,0.675,0.667,0.737,0.421
0.263,1.211,0.0,0.0,1.947,2.0,2.211,1.632,0.0,1.947,1.263,1.105,1.421,3.053,2.474,0.0,0.842,2.105,0.105,0.0,1.474,0.0,0.0,0.316,1.158,0.0,1.632,0.158,0.789,1.053,0.0,0.0,0.0,1.789,0.0,1.053,2.632,1.474,2.947,0.211,0.0,0.0,1.737,0.0,1.053,2.526,2.105,0.526,2.0,1.053,1.684,1.053,0.0,1.579,0.029,0.216,0.012,0.018,0.292,0.281,0.465,0.623,0.421,0.421,0.745,0.754,0.789,0.693,0.421
0.0,0.0,0.0,0.0,1.684,2.632,0.842,2.316,1.0,1.789,1.579,1.579,0.0,2.368,1.526,1.579,0.0,2.368,1.368,0.0,1.474,0.0,0.0,0.0,1.737,0.0,0.947,0.0,1.053,1.684,0.0,0.0,0.0,1.737,0.0,0.0,2.737,1.053,2.421,1.842,0.105,1.0,1.368,0.0,1.158,2.737,1.789,0.895,0.421,2.0,0.947,0.0,0.0,1.632,0.111,0.31,0.263,0.111,0.415,0.415,0.456,0.456,0.456,0.456,0.737,0.895,0.597,0.842,0.623
0.053,0.316,0.0,0.053,1.526,1.474,1.842,1.368,0.053,1.316,1.421,1.211,1.632,2.526,2.158,0.421,0.684,1.684,0.105,0.0,0.842,0.0,0.0,0.0,1.368,0.0,1.211,1.526,1.368,1.421,0.0,0.0,0.0,1.474,0.0,0.947,1.789,1.053,2.158,0.211,0.0,0.053,1.0,0.0,1.105,2.105,1.684,0.211,2.053,1.158,1.632,0.211,0.0,0.474,0.012,0.152,0.018,0.175,0.205,0.24,0.36,0.403,0.351,0.36,0.605,0.596,0.658,0.579,0.36
0.789,2.421,0.737,0.0,0.789,2.053,2.368,2.368,0.158,0.632,0.0,1.053,0.0,2.895,1.526,0.421,0.263,1.684,0.0,0.0,0.895,0.0,0.0,0.053,1.579,0.0,1.0,0.263,1.053,1.316,0.0,0.0,0.0,1.105,0.0,0.895,1.737,0.737,2.895,0.421,0.0,0.421,0.895,0.0,1.053,2.421,1.842,0.105,2.053,1.053,1.737,0.0,0.0,0.684,0.105,0.088,0.018,0.047,0.211,0.287,0.535,0.807,0.526,0.403,0.535,0.746,0.798,0.798,0.43
